执行脚本失败	Failed to execute script
解析结果失败	Failed to parse result
创建 AsyncHostRuntime 失败	Failed to create AsyncHostRuntime
native buffer 池加锁失败	Failed to lock native buffer pool
提交任务失败	Failed to submit task
base64 解码失败	base64 decode failed
序列化路由名失败	Failed to serialize route name
创建 tokio runtime 失败	Failed to create tokio runtime
bridge 同步路由表锁已损坏	Bridge sync route table lock is poisoned
bridge 异步路由表锁已损坏	Bridge async route table lock is poisoned
bridge 阻塞路由表锁已损坏	Bridge blocking route table lock is poisoned
runtime_name 不能为空	runtime_name cannot be empty
bundle_js 不能为空	bundle_js cannot be empty
序列化 bundle 名称失败: {e}	Failed to serialize bundle name: {e}
执行失败	Execution failed
更新 HTTP 配置失败	Failed to update HTTP config
bridge 请求池加锁失败	Failed to lock bridge request pool
http 请求池加锁失败	Failed to lock HTTP request pool
fs 请求池加锁失败	Failed to lock fs request pool
当前构建未启用 host-fs Cargo 特性	Current build does not enable the host-fs Cargo feature
等待任务结果失败: runtime 已关闭	Failed to wait for task result: runtime is closed
恢复 HTTP 配置失败	Failed to restore HTTP config
Body 已被读取	Body has already been read
任务执行失败	Task execution failed
参数 {name} 必须是字符串	Argument {name} must be a string
数据必须是字节数组	Data must be a byte array
字节数组元素必须是整数	Byte array elements must be integers
字节数组元素必须在 0-255 范围	Byte array elements must be in the 0-255 range
buffer id 不存在	buffer id does not exist
request id 不存在	request id does not exist
初始化 hmac 失败	Failed to initialize hmac
http event 请求池加锁失败	Failed to lock HTTP event request pool
已拦截内网请求: {host}	Blocked intranet request: {host}
timer event 请求池加锁失败	Failed to lock timer event request pool
fs event 请求池加锁失败	Failed to lock fs event request pool
文件上传失败: {e}	File upload failed: {e}
当前 runtime 未加载 bundle，请先调用 qjs_replace_bundle	Current runtime has no bundle loaded, please call qjs_replace_bundle first
任务类型不匹配: {task_id}	Task type mismatch: {task_id}
eval失败: {e}	eval failed: {e}
提交任务失败: 状态锁已损坏	Failed to submit task: state lock is poisoned
提交任务失败: 等待器锁已损坏	Failed to submit task: waiter lock is poisoned
提交任务失败: worker 不可用	Failed to submit task: worker unavailable
序列化 bundle 脚本失败: {e}	Failed to serialize bundle script: {e}
加载 bundle 失败: {e}	Failed to load bundle: {e}
调用参数必须是 JSON 数组	Call arguments must be a JSON array
执行一次性 bundle 调用失败: {e}	Failed to execute one-shot bundle call: {e}
卸载 bundle 失败: {e}	Failed to unload bundle: {e}
读取 bundle 列表失败: {e}	Failed to read bundle list: {e}
初始化 bundle dispatcher 失败: {e}	Failed to initialize bundle dispatcher: {e}
序列化调用参数失败: {e}	Failed to serialize call arguments: {e}
等待任务结果失败: 任务句柄已失效	Failed to wait for task result: task handle is invalid
序列化函数路径失败: {e}	Failed to serialize function path: {e}
系统时间异常	System time anomaly
创建临时目录失败	Failed to create temporary directory
创建 runtime 失败	Failed to create runtime
等待脚本结果失败	Failed to wait for script result
已拦截内网请求	Blocked intranet request
names 必须是数组	names must be an array
执行 pnpm test:cases:node 失败: {e}	Failed to execute pnpm test:cases:node: {e}
启动测试服务失败	Failed to start test service
卸载 bridge 自定义路由失败	Failed to unregister bridge custom route
注册 bridge 同步自定义路由失败	Failed to register bridge sync custom route
卸载 bridge 同步自定义路由失败	Failed to unregister bridge sync custom route
调用应失败	Call should have failed
不支持的 bridge 方法: {name}	Unsupported bridge method: {name}
缺少参数: {name}	Missing argument: {name}
参数 {name} 必须是非负整数	Argument {name} must be a non-negative integer
gzip 压缩失败	gzip compression failed
参数 a 必须是数字	Argument a must be a number
参数 b 必须是数字	Argument b must be a number
bridge 路由已被拒绝: {name}	Bridge route rejected: {name}
request 执行线程异常退出	request execution thread panicked
AES-128 密钥长度无效	AES-128 key length invalid
AES-192 密钥长度无效	AES-192 key length invalid
AES-256 密钥长度无效	AES-256 key length invalid
AES ECB 密钥长度必须是 16/24/32 字节，当前: {}	AES ECB key length must be 16/24/32 bytes, current: {}
AES ECB PKCS7 填充无效	AES ECB PKCS7 padding invalid
AES CBC 密钥长度必须是 16/24/32 字节，当前: {}	AES CBC key length must be 16/24/32 bytes, current: {}
AES-128 GCM 参数无效	AES-128 GCM parameters invalid
AES-256 GCM 参数无效	AES-256 GCM parameters invalid
AES GCM 密钥长度必须是 16/32 字节，当前: {}	AES GCM key length must be 16/32 bytes, current: {}
不支持的编码: {encoding}	Unsupported encoding: {encoding}
HTTP client 状态锁已损坏	HTTP client state lock is poisoned
解析 socks5 代理地址失败: {proxy_url}	Failed to parse socks5 proxy address: {proxy_url}
http pending 队列已满	HTTP pending queue is full
http 并发控制器不可用	HTTP concurrency controller unavailable
http 等待并发许可超时	Timed out waiting for HTTP concurrency permit
gzip 压缩失败: {e}	gzip compression failed: {e}
input id 不存在	input id does not exist
extra input id 不存在	extra input id does not exist
fs pending 队列已满	fs pending queue is full
fs 并发控制器不可用	fs concurrency controller unavailable
fs 等待并发许可超时	Timed out waiting for fs concurrency permit
打开备份 zip 失败: {}	Failed to open backup zip: {}
读取 zip 失败: {}	Failed to read zip: {}
读取输入文件失败: {}	Failed to read input file: {}
解析图片失败: {}	Failed to parse image: {}
md5 下载失败: {e}	md5 download failed: {e}
文件下载失败: {e}	File download failed: {e}
打开文件{}失败	Failed to open file {}
bundle_name 不能为空	bundle_name cannot be empty
序列化调用结果失败	Failed to serialize call result
序列化一次性调用结果失败	Failed to serialize one-shot call result
读取 bundle 列表失败: {err}	Failed to read bundle list: {err}
任务类型不匹配(期望二进制): {task_id}	Task type mismatch (expected binary): {task_id}
无法读取字符串	Cannot read string
初始化 AsyncContext 失败: {e}	Failed to initialize AsyncContext: {e}
初始化 Context 绑定失败: {e}	Failed to initialize Context bindings: {e}
初始化 AsyncRuntime 失败: {e}	Failed to initialize AsyncRuntime: {e}
AsyncHostRuntime worker 信号通道不可用	AsyncHostRuntime worker signal channel unavailable
安装 AsyncHostRuntime 上下文绑定失败: {e}	Failed to install AsyncHostRuntime context bindings: {e}
安装一次性 Context 绑定失败: {e}	Failed to install one-shot Context bindings: {e}
一次性 Context slot 不存在: {slot_index}	One-shot Context slot does not exist: {slot_index}
执行 JS event loop job 失败: {err}	Failed to execute JS event loop job: {err}
创建 per-instance tokio runtime 失败	Failed to create per-instance tokio runtime
初始化 HostRuntime 失败: {err}	Failed to initialize HostRuntime: {err}
获取 tokio handle 失败	Failed to get tokio handle
初始化 HostRuntime 失败: worker 提前退出	Failed to initialize HostRuntime: worker exited early
触发 GC 失败: worker 不可用	Failed to trigger GC: worker unavailable
触发 GC 失败: worker 已关闭	Failed to trigger GC: worker closed
执行 bundle 函数失败: {e}	Failed to execute bundle function: {e}
提交 bundle 调用任务失败: {e}	Failed to submit bundle call task: {e}
读取 bundle 列表失败: 返回值不是数组	Failed to read bundle list: return value is not an array
计算一次性 bundle 哈希失败: {e}	Failed to compute one-shot bundle hash: {e}
解析 JSON 任务结果失败: {e}; payload={payload}	Failed to parse JSON task result: {e}; payload={payload}
native buffer 不存在或已被消费: {id}	native buffer does not exist or has been consumed: {id}
字节数组第 {idx} 项不是无符号整数	Byte array item {idx} is not an unsigned integer
字节数组第 {idx} 项超出范围: {n}	Byte array item {idx} out of range: {n}
无法将字符串解码为 base64 字节: {e}	Cannot decode string as base64 bytes: {e}
不支持的二进制返回类型：期望 nativeBufferId / number[] / base64字符串	Unsupported binary return type: expected nativeBufferId / number[] / base64 string
解析 JS 返回 JSON 失败: {e}	Failed to parse JS return JSON: {e}
安装 AsyncHostRuntime 绑定失败: {e}	Failed to install AsyncHostRuntime bindings: {e}
读取任务结果失败: 状态锁已损坏	Failed to read task result: state lock is poisoned
读取任务结果失败: 任务尚未完成	Failed to read task result: task not yet completed
读取任务结果失败: 任务不存在	Failed to read task result: task does not exist
读取 case bundle 失败	Failed to read case bundle
序列化 bundle 失败	Failed to serialize bundle
序列化 config 失败	Failed to serialize config
执行 bundle case 失败	Failed to execute bundle case
解析 case 结果失败	Failed to parse case result
case 执行失败: {}\nraw={}	Case execution failed: {}\nraw={}
未知错误	Unknown error
pnpm test:cases:node 失败\nstdout:\n{stdout}\nstderr:\n{stderr}	pnpm test:cases:node failed\nstdout:\n{stdout}\nstderr:\n{stderr}
构造二进制响应头失败	Failed to construct binary response headers
构造响应头失败	Failed to construct response headers
构造自定义响应头失败	Failed to construct custom response headers
构造额外响应头失败	Failed to construct extra response headers
注册 bridge 自定义路由失败	Failed to register bridge custom route
注册 bridge 异步自定义路由失败	Failed to register bridge async custom route
注册 bridge 阻塞自定义路由失败	Failed to register bridge blocking custom route
卸载 bridge 阻塞自定义路由失败	Failed to unregister bridge blocking custom route
events 必须是数组	events must be an array
A中B	B in A
无法 clone	Cannot clone
未收到第 1 条日志回调	Did not receive log callback 1
未收到第 2 条日志回调	Did not receive log callback 2
未收到第 3 条日志回调	Did not receive log callback 3
任务应被 dropped	Task should be dropped
多任务并发耗时异常: {}ms	Abnormal multi-task concurrent elapsed time: {}ms
异步等待任务 panic	Async wait for task panicked
任务执行失败: {result:?}	Task execution failed: {result:?}
独立 async 等待者并发耗时异常: {}ms	Abnormal independent async waiter concurrent elapsed time: {}ms
wait handle 并发耗时异常: {}ms	Abnormal wait handle concurrent elapsed time: {}ms
解析 typed 结果失败	Failed to parse typed result
warmup task1 join 失败	Warmup task1 join failed
warmup task1 执行失败	Warmup task1 execution failed
warmup task2 join 失败	Warmup task2 join failed
warmup task2 执行失败	Warmup task2 execution failed
task1 join 失败	task1 join failed
task1 执行失败	task1 execution failed
task2 join 失败	task2 join failed
task2 执行失败	task2 execution failed
bundle_call_once 仍然被串行化，耗时={}ms	bundle_call_once is still serialized, elapsed={}ms
缺少调用上下文: {err}	Missing call context: {err}
缺少逻辑源码名: {err}	Missing logic source name: {err}
缺少 targetType: {err}	Missing targetType: {err}
缺少 ownerKeys: {err}	Missing ownerKeys: {err}
缺少 rootKeys: {err}	Missing rootKeys: {err}
runtime 销毁后 wait 不应被无限阻塞	wait should not be blocked indefinitely after runtime is destroyed
runtime 销毁后任务应返回错误	Tasks should return an error after runtime is destroyed
runtime 已关闭	Runtime is closed
绑定测试端口失败	Failed to bind test port
读取地址失败	Failed to read address
发送测试地址失败	Failed to send test address
接收测试地址失败	Failed to receive test address
sourcemap 应解析到 src/index.ts:143:12，实际错误: {err}	sourcemap should resolve to src/index.ts:143:12, actual error: {err}
bridge 运行时配置锁已损坏	Bridge runtime config lock is poisoned
bridge 调用失败	Bridge call failed
bridge 路由名不能为空	Bridge route name cannot be empty
bridge blocking 路由任务 join 失败: {err}	Bridge blocking route task join failed: {err}
解析宿主返回 JSON 失败	Failed to parse host return JSON
调用失败	Call failed
bridge 参数过大: {} > {}	Bridge argument too large: {} > {}
解析 bridge args JSON 失败	Failed to parse bridge args JSON
args 必须是数组	args must be an array
bridge bytes 参数缺少 nativeBufferId	Bridge bytes argument missing nativeBufferId
bridge bytes 参数 nativeBufferId 不存在: {id}	Bridge bytes argument nativeBufferId does not exist: {id}
gzip 解压失败	gzip decompression failed
bridge 返回二进制过大: {} > {}	Bridge return binary too large: {} > {}
bridge pending 队列已满	Bridge pending queue is full
解密结果不是有效 UTF-8	Decryption result is not valid UTF-8
dispatch_crypto_route 被传入非 crypto 路由: {name}	dispatch_crypto_route received a non-crypto route: {name}
